district,state,child_stunting_rate,child_wasting_rate,child_underweight_rate,child_anemia_rate,women_anemia_rate,child_diarrhea_rate,child_ari_rate,safe_drinking_water_access,sanitation_access,electricity_access,clean_cooking_fuel_access,iodized_salt_usage,institutional_delivery_rate,full_immunization_rate,health_insurance_coverage,tobacco_use_women,tobacco_use_men,alcohol_use_women,alcohol_use_men,high_blood_sugar_women,high_blood_sugar_men,high_blood_pressure_women,high_blood_pressure_men,female_education_rate,overall_child_health_risk_score,basic_infrastructure_risk_score,lifestyle_disease_risk_score,chronic_disease_risk_score,healthcare_accessibility_score,district_overall_health_risk_score,district_risk_level,district_health_risk_rank,identified_health_risk_factors
vadodara,gujarat,42.3,20.1,39.9,86.4,72.3,11.8,0.7,99.5,85.6,97.3,78.1,94.6,95.9,84.9,41.7,6.8,29.1,0.4,5.4,16.6,15.1,24.3,23.8,82.0,41.015,-86.73333333333333,10.424999999999999,19.95,74.16666666666667,5.134333333333335,High,383.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
panchkula,haryana,21.8,12.0,19.3,53.1,57.1,3.2,0.8,99.2,82.6,99.5,81.1,97.6,97.0,85.1,19.9,0.9,19.5,0.3,20.0,17.4,18.1,24.3,26.2,81.2,24.22,-86.63333333333333,10.174999999999999,21.5,67.33333333333333,-1.3036666666666639,Low,685.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
ambala,haryana,24.1,10.9,13.7,64.2,46.1,5.6,5.8,99.3,87.2,99.6,81.6,96.2,97.8,79.3,19.0,0.8,22.0,0.4,18.8,11.7,13.0,28.8,31.2,82.2,25.094999999999995,-88.36666666666667,10.5,21.175,65.36666666666666,-1.3003333333333371,Low,684.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
yamunanagar,haryana,27.7,12.1,23.1,72.9,56.6,7.2,6.6,100.0,83.5,99.8,77.7,94.4,94.8,82.9,20.6,1.7,25.3,0.4,19.7,14.6,14.9,28.7,28.8,79.1,30.18,-86.06666666666666,11.775,21.75,66.1,1.5636666666666668,High,574.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
kurukshetra,haryana,24.9,12.8,22.5,73.7,57.1,7.7,7.7,99.9,82.6,99.6,77.6,97.1,98.4,69.8,19.2,1.3,24.3,0.2,19.3,12.5,12.1,30.4,34.4,75.3,29.825,-85.7,11.275000000000002,22.35,62.46666666666666,1.5150000000000001,High,577.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
kaithal,haryana,29.9,20.7,29.9,61.4,61.5,4.5,1.6,98.5,89.7,100.0,55.9,97.0,98.2,74.3,29.1,1.7,22.6,0.0,13.8,15.8,16.9,16.9,20.4,66.3,31.034999999999997,-80.36666666666666,9.525,17.5,67.2,1.7456666666666658,High,562.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
karnal,haryana,29.2,9.8,20.5,78.3,61.9,4.4,5.1,99.9,83.5,99.2,74.1,97.8,99.0,88.9,24.6,2.6,26.6,0.3,22.0,9.4,9.0,17.6,21.2,79.2,30.73,-84.83333333333333,12.875,14.299999999999999,70.83333333333333,0.7603333333333366,High,613.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
panipat,haryana,25.1,9.9,18.9,73.4,66.9,8.2,4.7,99.9,79.3,99.6,73.0,97.2,97.1,80.6,26.5,4.6,27.3,0.5,17.6,12.0,14.0,21.6,25.6,78.3,29.585,-83.06666666666666,12.5,18.3,68.06666666666666,1.3806666666666683,High,584.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
sonipat,haryana,23.6,9.2,12.7,68.7,53.3,4.3,4.0,97.2,86.7,99.3,69.9,96.6,99.7,83.0,22.4,2.9,30.7,0.2,17.9,13.4,12.1,20.0,21.9,78.9,25.65,-83.60000000000001,12.925,16.85,68.36666666666666,-0.5050000000000017,Low,663.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
jind,haryana,25.5,8.8,22.9,68.9,59.6,5.1,0.7,96.2,88.5,100.0,42.1,95.9,98.7,77.5,23.7,2.5,35.3,0.0,16.9,12.1,15.4,16.5,21.9,71.4,28.005000000000003,-74.6,13.674999999999999,16.475,66.63333333333333,2.312000000000002,High,542.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
fatehabad,haryana,24.6,16.0,26.6,59.3,62.3,3.6,0.6,99.8,87.3,99.8,43.7,94.3,97.9,90.7,29.4,0.8,23.5,0.5,14.2,16.1,17.0,17.5,20.1,67.3,28.085,-75.93333333333334,9.75,17.675,72.66666666666667,1.5323333333333347,High,576.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
sirsa,haryana,25.0,12.6,23.4,70.1,61.9,5.2,0.9,99.3,81.9,99.9,38.8,95.7,99.3,78.1,26.6,1.1,21.7,0.3,12.9,15.4,23.6,19.9,26.8,68.3,28.965,-72.33333333333333,9.0,21.424999999999997,67.99999999999999,3.2043333333333326,High,494.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
hisar,haryana,27.8,16.4,21.4,70.5,63.8,4.7,2.2,99.3,89.1,99.7,44.8,95.8,98.2,85.5,27.9,1.8,34.5,0.2,14.2,12.6,16.7,19.4,28.6,69.3,30.264999999999997,-76.73333333333333,12.675,19.325,70.53333333333333,3.1593333333333327,High,497.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
rohtak,haryana,28.9,12.5,22.1,76.2,65.3,3.8,1.9,98.5,90.0,99.7,67.3,95.0,97.4,77.4,24.8,2.8,30.5,0.3,17.6,14.3,14.8,20.7,24.5,79.6,30.945,-84.26666666666667,12.799999999999999,18.575,66.53333333333335,1.7996666666666647,High,558.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
jhajjar,haryana,15.6,8.0,9.7,76.9,60.1,3.7,0.3,96.6,91.7,99.8,55.9,96.3,97.2,90.9,27.0,2.6,34.1,0.1,14.7,10.2,11.8,21.0,26.8,77.3,24.500000000000004,-80.4,12.875000000000002,17.45,71.7,-0.21499999999999853,Low,652.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
mahendragarh,haryana,25.2,8.4,15.4,72.3,61.2,4.7,0.8,99.7,79.8,99.6,34.2,97.4,98.9,73.9,25.6,2.3,32.9,0.4,13.9,10.3,12.3,21.6,25.8,70.0,27.384999999999994,-70.23333333333333,12.374999999999998,17.5,66.13333333333334,2.8823333333333316,High,507.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
rewari,haryana,25.9,9.3,20.5,71.3,61.8,2.7,0.0,99.7,86.4,100.0,54.9,97.7,98.7,79.3,25.3,4.4,33.5,0.3,19.1,8.2,10.9,24.1,26.5,74.6,28.089999999999996,-79.33333333333334,14.325,17.425,67.76666666666667,1.7193333333333305,High,565.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
gurgaon,haryana,22.1,15.7,22.2,67.7,67.5,4.5,0.0,99.7,84.5,99.4,81.0,97.6,96.7,58.7,34.6,2.9,32.6,0.5,18.5,13.5,15.4,16.5,22.4,80.9,28.565,-87.39999999999999,13.625,16.95,63.333333333333336,0.06100000000000172,Low,637.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
mewat,haryana,44.4,14.2,37.3,76.4,60.6,4.1,0.7,97.1,71.7,98.6,22.0,93.4,74.6,53.8,11.5,4.7,36.5,0.3,5.5,6.0,7.9,15.5,19.2,51.2,36.824999999999996,-62.6,11.75,12.15,46.633333333333326,6.989999999999997,High,265.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
faridabad,haryana,28.9,8.0,19.5,68.4,54.2,4.7,1.2,97.9,84.2,100.0,89.3,95.4,92.5,69.5,32.8,2.7,23.0,0.5,13.6,10.0,11.6,23.3,26.2,80.5,27.62,-89.46666666666668,9.95,17.775,64.93333333333334,-1.3003333333333362,Low,683.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
palwal,haryana,31.0,9.9,21.0,71.6,57.2,5.6,2.1,96.7,80.3,98.9,34.6,95.3,78.3,69.0,23.5,7.0,30.9,0.1,13.3,8.6,11.1,21.9,23.2,67.0,29.615,-69.53333333333333,12.825000000000001,16.2,56.93333333333334,3.7443333333333344,High,464.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
bhiwani,haryana,29.0,6.0,20.6,69.2,66.4,5.8,0.3,97.5,89.7,100.0,36.6,94.5,97.7,72.5,28.2,1.8,34.6,0.1,14.2,10.2,11.3,18.7,24.8,70.2,28.87,-73.6,12.674999999999999,16.25,66.13333333333333,2.613000000000003,High,523.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
charkhi dadri,haryana,23.9,10.6,16.9,67.2,72.6,4.1,0.3,97.3,90.4,99.5,36.2,95.5,98.9,84.2,29.7,1.9,38.3,0.1,12.0,10.3,13.4,20.6,22.9,69.6,27.88,-73.63333333333333,13.075,16.8,70.93333333333334,2.400333333333335,High,535.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
chamba,himachal pradesh,42.6,15.4,26.0,46.5,43.7,2.0,1.6,85.5,86.5,99.1,35.0,99.1,72.0,100.0,26.8,2.5,40.3,0.6,40.5,10.6,11.5,17.8,23.2,70.1,28.565,-68.0,20.974999999999998,15.774999999999999,66.26666666666667,5.176,High,380.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
kangra,himachal pradesh,28.0,19.4,32.0,55.3,63.4,5.0,0.4,98.6,73.3,99.7,49.1,98.7,90.2,83.9,36.4,1.2,32.9,1.1,34.1,16.4,15.7,24.9,26.6,84.1,29.885,-72.66666666666666,17.325,20.9,70.16666666666667,5.065666666666669,High,388.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
lahaul and spiti,himachal pradesh,28.5,16.3,18.4,91.0,82.1,6.5,1.3,89.2,61.7,99.8,71.7,99.2,86.4,77.9,31.2,1.7,33.5,1.8,47.9,6.7,8.5,15.0,19.2,65.6,34.97,-73.2,21.224999999999998,12.35,65.16666666666667,6.062999999999999,High,321.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
kullu,himachal pradesh,35.9,16.1,25.6,75.3,52.8,8.5,0.5,94.3,81.2,99.2,65.0,99.8,87.0,80.2,26.8,1.4,33.6,1.0,33.7,9.4,9.1,17.4,20.6,77.4,32.705,-79.16666666666667,17.425,14.125,64.66666666666667,3.5586666666666655,High,475.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
mandi,himachal pradesh,31.3,19.9,21.3,52.2,48.9,2.6,0.4,96.5,87.0,99.5,38.6,98.9,86.6,94.1,41.3,1.4,31.7,0.6,35.0,13.2,15.3,20.8,23.8,79.2,27.025000000000002,-73.03333333333333,17.174999999999997,18.275,74.0,3.2933333333333343,High,487.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
hamirpur,himachal pradesh,27.3,14.9,23.6,52.0,49.5,12.4,1.1,98.0,85.5,99.7,44.7,99.2,97.6,74.3,32.0,0.7,33.0,0.3,29.2,19.2,21.2,28.1,35.2,86.7,26.700000000000003,-75.06666666666666,15.8,25.924999999999997,67.96666666666665,4.011666666666668,High,450.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
una,himachal pradesh,24.7,13.1,25.8,58.7,60.8,9.2,0.4,98.8,81.4,98.5,46.2,98.6,89.7,75.3,22.6,0.8,31.0,0.2,23.9,20.1,20.4,27.1,27.2,86.1,27.855000000000004,-74.46666666666665,13.975000000000001,23.700000000000003,62.53333333333333,3.7836666666666736,High,462.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
bilaspur,himachal pradesh,40.1,12.0,38.8,44.8,53.0,6.3,0.0,92.9,80.8,100.0,35.8,98.7,91.7,100.0,35.4,1.8,33.3,0.3,26.2,17.9,19.9,22.1,20.3,81.3,30.294999999999998,-68.83333333333333,15.399999999999999,20.049999999999997,75.7,5.4413333333333345,High,362.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
solan,himachal pradesh,32.3,20.9,26.7,50.4,47.5,3.0,4.0,96.5,81.8,99.2,62.5,99.1,90.2,92.6,41.9,2.9,29.0,0.5,27.4,10.8,13.4,21.7,22.3,82.4,28.224999999999998,-79.26666666666667,14.95,17.05,74.9,1.836666666666666,High,556.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
sirmaur,himachal pradesh,28.6,18.5,24.2,58.5,50.1,3.3,2.8,95.7,84.3,99.2,46.8,98.5,87.4,93.9,26.2,4.1,27.3,0.3,22.2,10.1,9.9,19.1,20.8,75.7,27.95,-74.60000000000001,13.474999999999998,14.975,69.16666666666667,1.949999999999998,High,552.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
shimla,himachal pradesh,27.1,15.5,14.9,59.1,46.5,1.6,3.8,97.3,87.3,100.0,78.0,99.9,92.2,96.5,37.1,1.5,31.7,0.5,34.4,10.4,14.1,19.9,23.5,81.6,25.39,-86.53333333333335,17.025,16.975,75.26666666666667,-0.35066666666666757,Low,656.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
kinnaur,himachal pradesh,32.2,11.3,18.9,75.6,51.7,7.4,0.8,96.9,80.1,99.6,70.4,99.5,82.7,91.7,35.9,2.0,44.1,0.9,50.6,7.9,7.3,18.5,22.8,73.8,29.909999999999997,-81.46666666666667,24.400000000000002,14.125,70.10000000000001,3.3756666666666666,High,482.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
kupwara,jammu and kashmir,24.9,25.1,25.5,78.8,73.5,9.0,8.149999999999999,88.0,67.7,99.3,62.0,98.5,97.1,93.2,10.4,6.8,49.8,0.0,0.2,6.5,7.9,18.1,18.9,68.7,34.699999999999996,-71.56666666666666,14.2,12.85,66.9,4.976666666666667,High,398.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
badgam,jammu and kashmir,26.8,18.9,20.6,85.0,73.9,6.3,5.1,95.8,77.0,99.5,71.1,98.9,96.5,92.5,5.2,5.4,42.9,0.0,0.2,7.3,6.9,19.9,18.6,62.5,33.905,-80.3,12.125,13.174999999999999,64.73333333333333,2.5620000000000025,High,527.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
poonch,jammu and kashmir,25.9,15.6,18.8,54.3,54.1,6.0,3.8,81.05000000000001,66.7,99.7,44.6,98.9,86.0,91.2,11.1,2.3,38.8,0.3,2.4,7.8,7.0,17.9,16.3,72.1,26.17,-63.11666666666667,10.949999999999998,12.25,62.76666666666666,2.4846666666666666,High,532.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
rajouri,jammu and kashmir,30.3,22.5,32.4,76.4,60.6,10.7,6.1,81.05000000000001,63.3,100.0,42.8,96.0,88.8,95.0,16.4,3.2,44.8,0.1,8.2,8.0,8.4,16.5,13.8,72.6,35.01,-61.38333333333335,14.075000000000001,11.675,66.73333333333333,6.877333333333329,High,270.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
kathua,jammu and kashmir,21.8,22.5,25.9,67.0,53.6,2.1,1.0,96.1,75.4,99.7,68.5,98.0,97.1,100.0,7.0,2.1,33.3,0.5,21.1,12.4,11.8,18.9,23.6,77.4,28.43,-79.0,14.25,16.675,68.03333333333333,1.7569999999999997,High,560.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
baramula,jammu and kashmir,23.2,18.2,17.3,70.4,72.5,9.9,3.8,93.3,77.7,98.7,76.5,99.1,96.2,73.7,6.5,6.5,34.7,0.2,1.2,10.0,8.3,23.7,19.0,62.9,30.305,-81.5,10.650000000000002,15.25,58.800000000000004,1.0019999999999998,High,605.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
bandipore,jammu and kashmir,25.2,14.0,16.8,75.1,73.7,8.0,4.8,89.8,66.8,99.0,77.9,98.5,92.8,90.3,9.1,9.1,40.1,0.1,0.4,8.7,8.0,21.4,17.4,62.4,30.835,-77.16666666666667,12.425,13.874999999999998,64.06666666666666,2.1606666666666663,High,547.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
srinagar,jammu and kashmir,33.0,18.6,15.8,77.0,51.7,1.2,2.2,98.5,86.8,100.0,98.4,99.0,99.2,90.9,17.9,1.9,36.5,0.0,0.4,7.4,5.7,20.1,18.1,68.2,30.470000000000002,-93.56666666666668,9.7,12.825000000000001,69.33333333333334,-2.0203333333333324,Low,698.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
ganderbal,jammu and kashmir,18.5,25.9,20.1,89.8,77.2,4.7,2.3,97.2,78.4,99.5,84.4,97.7,98.0,81.2,8.3,6.3,36.3,0.2,0.1,9.7,7.8,21.5,19.1,60.2,33.41499999999999,-85.66666666666667,10.725,14.525,62.5,1.2826666666666617,High,586.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
pulwama,jammu and kashmir,22.4,15.3,20.2,67.4,73.2,3.7,2.6,98.0,91.6,99.1,76.6,98.6,97.8,88.8,9.9,3.3,41.2,0.0,0.6,7.2,4.8,22.6,19.1,67.2,28.985000000000003,-87.73333333333333,11.275,13.425,65.5,-1.0126666666666648,Low,677.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
shopian,jammu and kashmir,22.0,32.8,33.5,57.1,63.9,2.7,3.8,99.2,86.5,99.9,66.1,98.5,98.3,92.2,8.4,5.0,47.0,0.4,0.4,5.4,5.1,15.1,14.2,71.4,31.049999999999997,-82.93333333333332,13.2,9.95,66.3,0.46333333333333404,Medium,625.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
anantnag,jammu and kashmir,28.2,24.9,28.3,79.2,74.3,7.0,7.7,99.3,84.7,98.7,76.5,98.3,90.5,83.3,7.3,2.9,47.0,0.2,0.1,10.4,9.9,20.0,19.4,65.5,35.81000000000001,-85.83333333333333,12.55,14.925,60.366666666666674,2.652333333333338,High,519.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
kulgam,jammu and kashmir,28.4,11.3,15.3,77.7,77.0,2.1,0.0,96.4,80.5,99.8,40.3,97.8,98.9,98.1,4.2,3.3,37.7,0.1,0.3,6.4,6.1,25.8,19.9,64.0,30.654999999999998,-71.39999999999999,10.35,14.55,67.06666666666666,2.962000000000001,High,504.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
doda,jammu and kashmir,32.7,9.5,15.2,80.7,66.5,2.7,0.0,92.6,70.9,99.6,42.4,97.7,73.5,61.7,7.6,3.2,37.1,0.2,7.9,9.9,9.9,23.1,21.5,65.1,30.904999999999998,-67.63333333333334,12.100000000000001,16.1,47.599999999999994,4.475333333333332,High,424.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
ramban,jammu and kashmir,25.7,15.6,21.2,62.0,59.7,6.4,3.4,81.05000000000001,48.9,97.4,35.8,98.6,80.4,78.9,9.2,2.8,36.4,0.5,10.0,7.5,5.5,17.5,15.7,60.8,28.194999999999997,-54.25,12.424999999999999,11.55,56.166666666666664,5.222999999999997,High,376.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
kishtwar,jammu and kashmir,27.5,22.8,17.7,88.5,84.8,6.0,2.2,86.8,59.6,91.75000000000001,50.6,94.7,91.6,91.6,16.4,3.5,41.3,0.1,9.4,5.3,6.8,13.2,13.3,68.9,35.525,-64.66666666666667,13.575,9.649999999999999,66.53333333333333,5.921666666666665,High,332.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
udhampur,jammu and kashmir,37.3,19.8,31.9,70.4,56.5,11.9,4.5,81.05000000000001,69.8,99.9,55.1,96.1,87.2,85.8,16.8,4.7,45.2,0.6,27.1,9.9,8.8,20.1,18.3,73.0,34.93,-67.65,19.4,14.275,63.26666666666667,7.1770000000000005,High,258.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
reasi,jammu and kashmir,17.7,13.0,11.7,69.7,62.9,0.9,0.9,81.05000000000001,62.7,99.9,35.2,92.3,69.3,79.1,11.2,4.0,41.7,0.1,10.3,7.1,7.1,15.4,17.6,66.9,25.055,-58.65,14.025,11.8,53.19999999999999,3.4570000000000003,High,478.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
jammu,jammu and kashmir,27.0,18.0,17.6,68.4,66.6,2.7,3.6,99.9,81.2,100.0,87.9,98.9,96.5,84.1,23.3,0.8,25.7,0.3,25.5,9.9,8.6,20.5,22.6,84.0,29.64,-88.66666666666667,13.075,15.4,67.96666666666667,-0.18233333333333235,Low,650.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
samba,jammu and kashmir,24.5,20.4,15.5,69.0,62.4,4.7,3.2,95.4,78.8,99.8,73.0,98.7,97.9,90.9,19.0,3.0,38.9,0.7,28.1,10.3,11.2,21.1,21.5,76.6,28.89,-81.39999999999999,17.675,16.025,69.26666666666667,2.0160000000000036,High,550.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
garhwa,jharkhand,47.7,18.9,40.6,62.5,62.7,6.6,0.2,92.5,54.1,91.75000000000001,24.7,97.5,84.0,77.2,55.3,4.8,46.7,3.0,29.2,12.3,15.7,18.3,23.4,60.5,37.175000000000004,-56.099999999999994,20.925,17.425,72.16666666666667,11.320000000000004,High,77.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
chatra,jharkhand,42.2,17.2,39.8,62.6,56.0,4.5,1.4,83.3,48.1,92.1,20.4,97.8,71.5,71.7,46.5,6.4,49.7,3.8,38.7,10.8,13.1,16.0,22.1,60.7,34.68000000000001,-49.6,24.650000000000002,15.5,63.23333333333333,11.982000000000001,High,55.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
kodarma,jharkhand,34.6,18.0,31.7,60.0,64.9,8.2,2.4,83.9,54.0,97.1,35.8,99.2,91.3,73.8,56.8,1.4,37.3,0.5,29.2,11.2,22.4,13.8,20.6,64.4,32.655,-56.9,17.099999999999998,17.0,73.96666666666665,8.502,High,187.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
giridih,jharkhand,31.9,27.8,34.3,62.8,64.7,9.0,3.1,87.6,59.2,96.5,32.4,96.8,70.7,70.6,52.4,4.4,44.8,1.4,29.8,10.3,15.9,17.4,23.9,61.6,34.39,-58.73333333333334,20.1,16.875,64.56666666666668,9.40433333333333,High,144.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
deoghar,jharkhand,41.7,17.7,36.9,73.9,70.2,6.5,0.8,90.8,41.6,95.6,23.5,98.3,63.15,54.5,53.8,6.6,52.0,2.0,26.3,10.0,13.5,14.2,18.5,59.8,37.449999999999996,-50.96666666666667,21.725,14.05,57.15,11.941666666666665,High,57.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
godda,jharkhand,39.4,24.5,40.7,75.1,66.3,6.8,4.2,91.4,54.9,93.5,19.7,98.9,70.2,63.9,45.9,2.7,45.1,3.3,34.2,13.2,16.1,18.6,20.2,52.7,38.625,-54.333333333333336,21.325,17.025,60.0,12.253333333333332,High,48.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
sahibganj,jharkhand,49.1,19.7,44.8,72.6,71.5,3.4,2.2,88.2,43.2,91.75000000000001,17.4,98.2,64.7,66.0,34.8,4.7,47.2,3.8,34.4,12.8,17.1,15.0,16.6,57.3,40.55,-48.6,22.525000000000002,15.375,55.166666666666664,14.079999999999998,High,19.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
pakur,jharkhand,51.3,23.6,51.4,72.1,79.7,4.3,1.2,88.6,38.3,91.75000000000001,16.9,97.0,64.6,69.4,52.5,5.8,50.8,3.8,34.5,13.3,19.7,17.1,20.2,53.1,43.40999999999999,-46.93333333333333,23.724999999999998,17.575000000000003,62.166666666666664,16.237333333333332,High,6.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
dhanbad,jharkhand,27.0,14.0,25.1,66.5,63.8,7.9,1.8,88.9,67.6,98.5,37.2,98.3,78.8,66.1,45.7,9.6,45.7,1.1,25.8,10.1,13.1,18.5,24.9,68.7,29.939999999999998,-63.56666666666666,20.55,16.65,63.533333333333324,6.7026666666666666,High,282.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
bokaro,jharkhand,36.2,19.7,32.3,66.5,68.8,15.6,2.2,86.4,64.4,97.3,47.0,95.7,80.9,71.0,44.7,9.0,45.0,2.0,27.9,9.4,14.8,21.5,27.5,71.5,35.48500000000001,-64.93333333333334,20.975,18.3,65.53333333333335,9.062333333333335,High,160.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
lohardaga,jharkhand,40.7,26.6,43.4,68.7,61.7,5.0,0.6,81.05000000000001,67.7,99.2,34.0,99.4,84.1,88.2,58.9,12.8,51.7,3.8,37.6,10.0,9.7,17.5,20.2,65.6,37.71,-59.916666666666664,26.474999999999998,14.35,77.06666666666668,11.265666666666668,High,81.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
purbi singhbhum,jharkhand,35.9,29.4,41.6,67.4,64.4,1.9,0.7,89.7,70.2,95.7,57.6,99.4,94.0,88.8,50.7,8.6,38.8,3.8,25.6,11.7,16.5,19.8,22.4,74.1,36.434999999999995,-71.5,19.2,17.599999999999998,77.83333333333333,7.633999999999997,High,235.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
palamu,jharkhand,43.7,18.4,37.3,68.2,61.0,4.3,0.6,94.9,46.3,95.8,25.4,96.6,74.9,80.9,55.8,6.0,48.9,3.1,34.9,9.4,13.1,18.3,24.3,63.5,36.1,-54.53333333333333,23.224999999999998,16.275,70.53333333333335,11.433333333333334,High,75.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
latehar,jharkhand,40.1,19.2,39.4,68.3,63.6,6.6,6.1,81.05000000000001,51.4,91.75000000000001,14.2,96.8,70.3,75.0,52.2,11.0,51.6,3.8,47.3,9.0,11.4,15.3,22.2,60.5,36.69,-47.88333333333333,28.425,14.474999999999998,65.83333333333333,13.679333333333334,High,21.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
hazaribagh,jharkhand,37.8,16.2,32.5,62.1,56.1,9.1,2.7,85.5,55.6,98.2,36.8,95.0,82.0,70.1,55.0,4.8,42.5,3.4,35.1,8.8,13.5,18.8,30.8,66.1,32.86,-58.29999999999999,21.450000000000003,17.975,69.03333333333333,9.369000000000003,High,146.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
ramgarh,jharkhand,35.3,23.5,35.3,59.7,62.3,9.1,2.6,81.05000000000001,64.2,98.4,33.2,97.8,79.0,81.8,49.7,8.6,48.5,3.8,37.0,7.5,13.3,21.1,27.4,68.4,33.99999999999999,-58.48333333333333,24.474999999999998,17.325000000000003,70.16666666666667,10.263333333333332,High,109.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
dumka,jharkhand,38.2,27.8,44.9,75.1,73.4,6.4,1.3,92.6,41.5,93.2,18.1,97.6,63.15,78.9,45.4,9.6,56.6,3.8,44.5,10.2,13.6,14.1,20.0,59.7,39.830000000000005,-49.73333333333333,28.625,14.475,62.48333333333334,14.605333333333338,High,15.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
jamtara,jharkhand,41.9,23.0,46.2,72.8,77.7,13.8,5.8,93.0,52.8,92.2,20.3,98.3,75.4,78.8,62.9,13.6,49.7,3.8,29.9,10.5,12.9,17.8,21.9,63.7,41.505,-54.366666666666674,24.25,15.774999999999999,72.36666666666666,13.733666666666666,High,20.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
ranchi,jharkhand,28.3,32.7,40.6,62.8,58.9,4.8,1.9,86.3,77.2,99.3,57.7,99.0,87.3,73.8,43.9,8.3,45.8,3.8,36.4,9.7,12.0,19.6,23.1,73.3,34.05,-72.73333333333333,23.575,16.1,68.33333333333333,7.008333333333333,High,264.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
